HourOfYear,electricity_demand
1168,450.0246688423935
1169,450.0246688423935
1170,450.0246688423935
1171,450.0246688423935
1172,435.4540952587698
1173,433.22834485876984
1174,433.22834485876984
1175,417.05471499169
1176,417.05471499169
1177,417.05471499169
1178,417.05471499169
1179,417.05471499169
1180,417.05471499169
1181,417.05471499169
1182,417.05471499169
1183,447.7989184423935
1184,450.0246688423935
1185,450.0246688423935
1186,450.0246688423935
1187,450.0246688423935
1188,450.0246688423935
1189,450.0246688423935
1190,450.0246688423935
1191,450.0246688423935
1192,450.0246688423935
1193,450.0246688423935
1194,450.0246688423935
1195,450.0246688423935
1196,435.4540952587698
1197,433.22834485876984
1198,433.22834485876984
1199,417.05471499169
1200,417.05471499169
1201,430.74307995169
1202,201.52519039569
1203,322.37428133167
1204,328.02354792933
1205,338.60912267427
1206,382.48064847642996
1207,464.8259090023935
1208,557.76215608722
1209,169.02925688503
1210,585.55346969432
1211,249.01319115361008
1212,505.85521241205004
1213,441.14363970682996
1214,169.01869899652
1215,250.6528776832601
1216,441.09811644872
1217,262.10545772732
1218,144.23440479342
1219,467.0516594023935
1220,452.4810858187698
1221,88.2891213125998
1222,351.3747822618898
1223,434.08170555169
1224,269.17166740294
1225,430.74307995169
1226,201.52519039569
1227,322.37428133167
1228,328.02354792933
1229,338.60912267427
1230,382.48064847642996
1231,464.8259090023935
1232,557.76215608722
1233,169.02925688503
1234,585.55346969432
1235,249.01319115361008
1236,505.85521241205004
1237,441.14363970682996
1238,169.01869899652
1239,250.6528776832601
1240,441.09811644872
1241,262.10545772732
1242,144.23440479342
1243,467.0516594023935
1244,452.4810858187698
1245,88.2891213125998
1246,351.3747822618898
1247,434.08170555169
1248,269.17166740294
1249,417.05471499169
1250,417.05471499169
1251,417.05471499169
1252,417.05471499169
1253,417.05471499169
1254,417.05471499169
1255,447.7989184423935
1256,450.0246688423935
1257,450.0246688423935
1258,450.0246688423935
1259,450.0246688423935
1260,450.0246688423935
1261,450.0246688423935
1262,450.0246688423935
1263,450.0246688423935
1264,450.0246688423935
1265,450.0246688423935
1266,450.0246688423935
1267,450.0246688423935
1268,435.4540952587698
1269,433.22834485876984
1270,433.22834485876984
1271,417.05471499169
1272,417.05471499169
1273,426.73672923169
1274,260.08415994776
1275,388.14799093992997
1276,393.797257094
1277,390.60419380848
1278,394.53411795456
1279,391.69928059497346
1280,358.1786500716649
1281,415.90866672061486
1282,458.55640029009487
1283,186.65341790511502
1284,148.87284077508488
1285,378.29942442748495
1286,129.40127739634488
1287,230.63957449242503
1288,281.6004350379849
1289,316.1074788154749
1290,474.1562937209349
1291,168.53748804066348
1292,448.4747350987698
1293,446.24898469876985
1294,446.24898469876985
1295,51.670264782900006
1296,430.07535483169
1297,426.73672923169
1298,260.08415994776
1299,388.14799093992997
1300,393.797257094
1301,390.60419380848
1302,394.53411795456
1303,391.69928059497346
1304,358.1786500716649
1305,415.90866672061486
